PMU2 TR5b (°C), PMGR SOC Die Temp Sensor0 (°C), PMU tcal (°C), ANE MTR Temp Sensor1 (°C), PMU2 TR3d (°C), gas gauge battery (°C), pACC MTR Temp Sensor4 (°C), PMU tdie8 (°C), PMU tdie4 (°C), PMU tdev1 (°C), PMU2 TR5d (°C), PMU TP3w (°C), SOC MTR Temp Sensor2 (°C), pACC MTR Temp Sensor3 (°C), GPU MTR Temp Sensor1 (°C), PMU tdev8 (°C), gas gauge battery (°C), PMU2 TR2l (°C), PMU tdev5 (°C), SOC MTR Temp Sensor1 (°C), PMU2 TR0Z (°C), gas gauge battery (°C), pACC MTR Temp Sensor2 (°C), PMU2 TR4b (°C), pACC MTR Temp Sensor9 (°C), PMU tdev7 (°C), PMU tdie6 (°C), PMU tdev6 (°C), PMU2 TR8b (°C), PMU2 TR2d (°C), gas gauge battery (°C), PMU2 TR6b (°C), PMU tdie1 (°C), SOC MTR Temp Sensor0 (°C), PMU tdie7 (°C), eACC MTR Temp Sensor3 (°C), pACC MTR Temp Sensor8 (°C), PMU2 TR4d (°C), PMU2 TR7b (°C), PMU tdev2 (°C), NAND CH0 temp (°C), PMGR SOC Die Temp Sensor2 (°C), eACC MTR Temp Sensor0 (°C), PMU2 TR1l (°C), pACC MTR Temp Sensor7 (°C), PMU tdie5 (°C), GPU MTR Temp Sensor4 (°C), gas gauge battery (°C), PMU2 TR3b (°C), PMU tdev3 (°C), PMGR SOC Die Temp Sensor1 (°C), ISP MTR Temp Sensor5 (°C), pACC MTR Temp Sensor5 (°C), PMU tdev4 (°C), PMU tdie2 (°C), PMU2 TR1d (°C), gas gauge battery (°C)
45.338470, 45.781250, 51.850006, 30.000000, 41.070663, 32.599991, 64.234375, 49.308014, 49.737152, 38.972977, 37.819824, 48.986160, 59.125000, 69.265625, 30.000000, 38.054062, 32.899994, 44.802048, -21.762909, 50.109375, 51.850006, 32.000000, 66.906250, 45.445755, 67.437500, 44.929352, 49.737152, 35.256760, 45.016617, 34.543808, 32.899994, 45.016617, 51.024567, 46.609375, 54.886810, 50.671875, 69.578125, 38.454956, 43.729202, 44.760880, 37.000000, 56.000000, 50.062500, 45.016617, 63.656250, 52.526550, 30.000000, 32.000000, 43.085495, 50.008072, 48.562500, 30.000000, 56.859375, -21.832977, 55.423233, 39.513519, 32.899994
45.874893, 45.781250, 51.850006, 30.000000, 41.070663, 32.599991, 64.234375, 50.166290, 50.488144, 38.747757, 37.716217, 49.844437, 59.125000, 69.265625, 30.000000, 38.333344, 32.899994, 45.016617, -21.890244, 50.109375, 51.850006, 32.000000, 66.906250, 45.445755, 67.437500, 46.060013, 50.595428, 35.256760, 44.909332, 34.459854, 32.899994, 45.123901, 50.702713, 46.609375, 53.921249, 50.671875, 69.578125, 38.351364, 45.016617, 46.026672, 38.000000, 56.000000, 50.062500, 45.553040, 63.656250, 53.706680, 30.000000, 32.000000, 43.407349, 51.362915, 48.562500, 30.000000, 56.859375, -21.839371, 56.174225, 39.725235, 32.899994
45.231186, 48.265625, 51.850006, 30.000000, 41.451096, 32.599991, 67.328125, 51.024567, 51.024567, 39.238739, 37.819824, 50.380859, 61.468750, 71.343750, 30.000000, 38.378387, 33.000000, 45.553040, -21.903030, 51.828125, 51.850006, 33.000000, 69.750000, 45.445755, 69.234375, 46.666672, 50.809998, 35.256760, 45.553040, 34.631393, 33.000000, 44.051056, 52.311981, 48.640625, 56.066940, 51.000000, 73.203125, 38.454956, 44.802048, 46.666672, 37.000000, 59.171875, 52.781250, 45.553040, 67.437500, 54.028534, 30.000000, 32.000000, 44.694763, 52.129044, 51.171875, 30.000000, 60.781250, -21.845764, 57.247070, 39.936951, 33.000000
45.660324, 48.265625, 51.850006, 30.000000, 41.706528, 32.599991, 67.328125, 51.346420, 52.204697, 39.563065, 37.927933, 51.024567, 61.468750, 71.343750, 30.000000, 38.594604, 33.000000, 45.982178, -21.903030, 51.828125, 51.850006, 33.000000, 69.750000, 45.874893, 69.234375, 47.300003, 51.882843, 35.360367, 44.587479, 34.631393, 33.000000, 44.694763, 52.848404, 48.640625, 56.817932, 51.000000, 73.203125, 38.454956, 44.158340, 47.300003, 37.000000, 59.171875, 52.781250, 45.660324, 67.437500, 54.994095, 30.000000, 32.000000, 45.016617, 52.903229, 51.171875, 30.000000, 60.781250, -21.845764, 57.354355, 40.179352, 33.000000
44.694763, 48.265625, 51.850006, 30.000000, 42.092392, 32.599991, 67.328125, 52.526550, 51.775558, 39.774780, 37.927933, 51.131851, 61.468750, 71.343750, 30.000000, 38.806320, 33.000000, 45.874893, -21.903030, 51.828125, 51.850006, 33.000000, 69.750000, 45.874893, 69.234375, 47.780014, 52.526550, 35.360367, 44.694763, 34.631393, 33.000000, 45.553040, 51.882843, 48.640625, 57.032501, 51.000000, 73.203125, 38.351364, 43.943771, 47.960007, 37.000000, 59.171875, 52.781250, 45.660324, 67.437500, 55.959656, 30.000000, 32.000000, 45.445755, 53.661301, 51.171875, 30.000000, 60.781250, -21.845764, 58.749054, 40.559784, 33.000000
45.874893, 50.500000, 51.850006, 30.000000, 42.217392, 32.599991, 70.437500, 52.848404, 52.526550, 40.119568, 38.031540, 52.311981, 64.734375, 75.343750, 30.000000, 38.972977, 33.000000, 45.767609, -21.903030, 54.515625, 51.850006, 33.000000, 73.078125, 46.196747, 74.109375, 48.593338, 52.848404, 35.360367, 45.874893, 34.631393, 33.000000, 45.445755, 54.028534, 50.671875, 56.817932, 55.296875, 76.984375, 38.454956, 45.874893, 48.573334, 37.000000, 61.859375, 55.843750, 45.767609, 71.203125, 55.959656, 30.000000, 32.000000, 45.123901, 54.443558, 53.671875, 30.000000, 63.125000, -21.967758, 59.714615, 40.690231, 33.000000
45.767609, 50.500000, 51.850006, 30.000000, 42.728271, 32.599991, 70.437500, 53.277542, 54.243103, 40.380447, 38.031540, 52.741119, 64.734375, 75.343750, 30.000000, 39.130646, 33.000000, 44.802048, -21.909424, 54.515625, 51.850006, 33.000000, 73.078125, 46.733170, 74.109375, 49.226669, 53.277542, 35.360367, 46.196747, 34.631393, 33.000000, 46.196747, 54.243103, 50.671875, 58.212631, 55.296875, 76.984375, 38.454956, 45.982178, 49.213348, 38.000000, 61.859375, 55.843750, 45.660324, 71.203125, 56.710648, 30.000000, 32.000000, 45.123901, 55.028854, 53.671875, 30.000000, 63.125000, -21.605743, 59.285477, 41.070663, 33.000000
46.196747, 50.500000, 51.850006, 30.000000, 43.114136, 32.599991, 70.437500, 53.921249, 54.028534, 40.755447, 38.139648, 53.170258, 64.734375, 75.343750, 30.000000, 39.130646, 33.000000, 46.411316, -21.909424, 54.515625, 51.850006, 33.000000, 73.078125, 46.518600, 74.109375, 49.700012, 53.921249, 35.576584, 46.518600, 34.715332, 33.000000, 46.840454, 54.672241, 50.671875, 59.178192, 55.296875, 76.984375, 38.454956, 45.553040, 49.693344, 37.000000, 61.859375, 55.843750, 46.304031, 71.203125, 57.139786, 30.000000, 32.000000, 45.553040, 55.721161, 53.671875, 30.000000, 63.125000, -21.858276, 60.572891, 41.326096, 33.000000
46.840454, 52.468750, 51.850006, 30.000000, 43.239136, 32.599991, 73.500000, 54.028534, 54.457672, 40.641312, 38.243256, 52.526550, 66.781250, 78.765625, 30.000000, 39.774780, 33.000000, 46.733170, -21.807404, 57.218750, 51.850006, 33.000000, 74.234375, 47.162308, 74.062500, 50.008072, 54.243103, 35.869370, 46.518600, 34.631393, 33.000000, 45.338470, 55.637802, 52.296875, 59.714615, 57.296875, 78.062500, 38.666672, 46.196747, 50.395172, 38.000000, 63.359375, 57.765625, 46.411316, 71.187500, 57.998062, 30.000000, 32.000000, 46.518600, 56.403854, 55.375000, 30.000000, 64.796875, -21.858276, 60.572891, 41.581528, 33.000000
47.055023, 52.468750, 51.850006, 30.000000, 43.619568, 32.599991, 73.500000, 53.384827, 54.994095, 40.771744, 38.351364, 52.419266, 66.781250, 78.765625, 30.000000, 39.563065, 33.000000, 47.376877, -21.921936, 57.218750, 51.850006, 33.000000, 74.234375, 47.162308, 74.062500, 50.395172, 54.564957, 35.869370, 46.840454, 34.802933, 33.000000, 47.162308, 54.994095, 52.296875, 59.500046, 57.296875, 78.062500, 38.666672, 46.733170, 51.169357, 38.000000, 63.359375, 57.765625, 47.055023, 71.187500, 55.852371, 30.000000, 32.000000, 46.840454, 57.057693, 55.375000, 30.000000, 64.796875, -21.851883, 60.894745, 41.657623, 33.000000
